tech,zone,year,month,hour,unit,value
Solar,Thailand,2023,1,345,fraction,0.138
Solar,Thailand,2023,1,346,fraction,0.288
Solar,Thailand,2023,1,347,fraction,0.413
Solar,Thailand,2023,1,348,fraction,0.502
Solar,Thailand,2023,1,349,fraction,0.556
Solar,Thailand,2023,1,350,fraction,0.573
Solar,Thailand,2023,1,351,fraction,0.546
Solar,Thailand,2023,1,352,fraction,0.459
Solar,Thailand,2023,1,353,fraction,0.311
Solar,Thailand,2023,1,354,fraction,0.163
Solar,Thailand,2023,1,355,fraction,0.038
Solar,Thailand,2023,1,356,fraction,0.0
Solar,Thailand,2023,1,357,fraction,0.0
Solar,Thailand,2023,1,358,fraction,0.0
Solar,Thailand,2023,1,359,fraction,0.0
Solar,Thailand,2023,1,360,fraction,0.0
Solar,Thailand,2023,1,361,fraction,0.0
Solar,Thailand,2023,1,362,fraction,0.0
Solar,Thailand,2023,1,363,fraction,0.0
Solar,Thailand,2023,1,364,fraction,0.0
Solar,Thailand,2023,1,365,fraction,0.0
Solar,Thailand,2023,1,366,fraction,0.0
Solar,Thailand,2023,1,367,fraction,0.0
Solar,Thailand,2023,1,368,fraction,0.018
Solar,Thailand,2023,1,369,fraction,0.111
Solar,Thailand,2023,1,370,fraction,0.216
Solar,Thailand,2023,1,371,fraction,0.3
Solar,Thailand,2023,1,372,fraction,0.354
Solar,Thailand,2023,1,373,fraction,0.373
Solar,Thailand,2023,1,374,fraction,0.357
Solar,Thailand,2023,1,375,fraction,0.285
Solar,Thailand,2023,1,376,fraction,0.208
Solar,Thailand,2023,1,377,fraction,0.141
Solar,Thailand,2023,1,378,fraction,0.07
Solar,Thailand,2023,1,379,fraction,0.012
Solar,Thailand,2023,1,380,fraction,0.0
Solar,Thailand,2023,1,381,fraction,0.0
Solar,Thailand,2023,1,382,fraction,0.0
Solar,Thailand,2023,1,383,fraction,0.0
Solar,Thailand,2023,1,384,fraction,0.0
Solar,Thailand,2023,1,385,fraction,0.0
Solar,Thailand,2023,1,386,fraction,0.0
Solar,Thailand,2023,1,387,fraction,0.0
Solar,Thailand,2023,1,388,fraction,0.0
Solar,Thailand,2023,1,389,fraction,0.0
Solar,Thailand,2023,1,390,fraction,0.0
Solar,Thailand,2023,1,391,fraction,0.0
Solar,Thailand,2023,1,392,fraction,0.008
Solar,Thailand,2023,1,393,fraction,0.069
Solar,Thailand,2023,1,394,fraction,0.148
Solar,Thailand,2023,1,395,fraction,0.221
Solar,Thailand,2023,1,396,fraction,0.263
Solar,Thailand,2023,1,397,fraction,0.296
Solar,Thailand,2023,1,398,fraction,0.288
Solar,Thailand,2023,1,399,fraction,0.233
Solar,Thailand,2023,1,400,fraction,0.196
Solar,Thailand,2023,1,401,fraction,0.14
Solar,Thailand,2023,1,402,fraction,0.073
Solar,Thailand,2023,1,403,fraction,0.014
Solar,Thailand,2023,1,404,fraction,0.0
Solar,Thailand,2023,1,405,fraction,0.0
Solar,Thailand,2023,1,406,fraction,0.0
Solar,Thailand,2023,1,407,fraction,0.0
Solar,Thailand,2023,1,408,fraction,0.0
Solar,Thailand,2023,1,409,fraction,0.0
Solar,Thailand,2023,1,410,fraction,0.0
Solar,Thailand,2023,1,411,fraction,0.0
Solar,Thailand,2023,1,412,fraction,0.0
Solar,Thailand,2023,1,413,fraction,0.0
Solar,Thailand,2023,1,414,fraction,0.0
Solar,Thailand,2023,1,415,fraction,0.0
Solar,Thailand,2023,1,416,fraction,0.007
Solar,Thailand,2023,1,417,fraction,0.064
Solar,Thailand,2023,1,418,fraction,0.159
Solar,Thailand,2023,1,419,fraction,0.284
Solar,Thailand,2023,1,420,fraction,0.377
Solar,Thailand,2023,1,421,fraction,0.319
Solar,Thailand,2023,1,422,fraction,0.342
Solar,Thailand,2023,1,423,fraction,0.361
Solar,Thailand,2023,1,424,fraction,0.319
Solar,Thailand,2023,1,425,fraction,0.226
Solar,Thailand,2023,1,426,fraction,0.115
Solar,Thailand,2023,1,427,fraction,0.023
Solar,Thailand,2023,1,428,fraction,0.0
Solar,Thailand,2023,1,429,fraction,0.0
Solar,Thailand,2023,1,430,fraction,0.0
Solar,Thailand,2023,1,431,fraction,0.0
Solar,Thailand,2023,1,432,fraction,0.0
Solar,Thailand,2023,1,433,fraction,0.0
Solar,Thailand,2023,1,434,fraction,0.0
Solar,Thailand,2023,1,435,fraction,0.0
