station_id,year,month,unit,value
5,1,11,m3,3000000.0
5,1,12,m3,3000000.0
5,1,13,m3,3000000.0
5,1,14,m3,3000000.0
5,1,15,m3,3000000.0
5,1,16,m3,3000000.0
5,1,17,m3,3000000.0
5,1,18,m3,3000000.0
5,1,19,m3,3000000.0
5,1,20,m3,3000000.0
5,1,21,m3,3000000.0
5,1,22,m3,3000000.0
5,1,23,m3,3000000.0
5,1,24,m3,3000000.0
5,1,25,m3,3000000.0
5,1,26,m3,3000000.0
5,1,27,m3,3000000.0
5,1,28,m3,3000000.0
5,1,29,m3,3000000.0
5,1,30,m3,3000000.0
5,1,31,m3,3000000.0
5,1,32,m3,3000000.0
5,1,33,m3,3000000.0
5,1,34,m3,3000000.0
5,1,35,m3,3000000.0
5,1,36,m3,3000000.0
5,1,37,m3,3000000.0
5,1,38,m3,3000000.0
5,1,39,m3,3000000.0
5,1,40,m3,3000000.0
5,1,41,m3,3000000.0
5,1,42,m3,3000000.0
5,1,43,m3,3000000.0
5,1,44,m3,3000000.0
5,1,45,m3,3000000.0
5,1,46,m3,3000000.0
5,1,47,m3,3000000.0
5,1,48,m3,3000000.0
6,1,1,m3,4000000.0
6,1,2,m3,4000000.0
6,1,3,m3,4000000.0
6,1,4,m3,4000000.0
6,1,5,m3,4000000.0
6,1,6,m3,4000000.0
6,1,7,m3,4000000.0
6,1,8,m3,4000000.0
6,1,9,m3,4000000.0
6,1,10,m3,4000000.0
6,1,11,m3,4000000.0
6,1,12,m3,4000000.0
6,1,13,m3,4000000.0
6,1,14,m3,4000000.0
6,1,15,m3,4000000.0
6,1,16,m3,4000000.0
6,1,17,m3,4000000.0
6,1,18,m3,4000000.0
6,1,19,m3,4000000.0
6,1,20,m3,4000000.0
6,1,21,m3,4000000.0
6,1,22,m3,4000000.0
6,1,23,m3,4000000.0
6,1,24,m3,4000000.0
6,1,25,m3,4000000.0
6,1,26,m3,4000000.0
6,1,27,m3,4000000.0
6,1,28,m3,4000000.0
6,1,29,m3,4000000.0
6,1,30,m3,4000000.0
6,1,31,m3,4000000.0
6,1,32,m3,4000000.0
6,1,33,m3,4000000.0
6,1,34,m3,4000000.0
6,1,35,m3,4000000.0
6,1,36,m3,4000000.0
6,1,37,m3,4000000.0
6,1,38,m3,4000000.0
6,1,39,m3,4000000.0
6,1,40,m3,4000000.0
6,1,41,m3,4000000.0
6,1,42,m3,4000000.0
6,1,43,m3,4000000.0
6,1,44,m3,4000000.0
6,1,45,m3,4000000.0
6,1,46,m3,4000000.0
6,1,47,m3,4000000.0
6,1,48,m3,4000000.0
7,1,1,m3,13000000.0
7,1,2,m3,13000000.0
7,1,3,m3,13000000.0
7,1,4,m3,13000000.0
7,1,5,m3,13000000.0
7,1,6,m3,13000000.0
7,1,7,m3,13000000.0
7,1,8,m3,13000000.0
7,1,9,m3,13000000.0
7,1,10,m3,13000000.0
7,1,11,m3,13000000.0
7,1,12,m3,13000000.0
7,1,13,m3,13000000.0
7,1,14,m3,13000000.0
7,1,15,m3,13000000.0
7,1,16,m3,13000000.0
7,1,17,m3,13000000.0
7,1,18,m3,13000000.0
7,1,19,m3,13000000.0
7,1,20,m3,13000000.0
7,1,21,m3,13000000.0
7,1,22,m3,13000000.0
7,1,23,m3,13000000.0
7,1,24,m3,13000000.0
7,1,25,m3,13000000.0
7,1,26,m3,13000000.0
7,1,27,m3,13000000.0
7,1,28,m3,13000000.0
7,1,29,m3,13000000.0
7,1,30,m3,13000000.0
7,1,31,m3,13000000.0
7,1,32,m3,13000000.0
7,1,33,m3,13000000.0
7,1,34,m3,13000000.0
7,1,35,m3,13000000.0
7,1,36,m3,13000000.0
7,1,37,m3,13000000.0
7,1,38,m3,13000000.0
7,1,39,m3,13000000.0
7,1,40,m3,13000000.0
7,1,41,m3,13000000.0
7,1,42,m3,13000000.0
7,1,43,m3,13000000.0
7,1,44,m3,13000000.0
7,1,45,m3,13000000.0
7,1,46,m3,13000000.0
7,1,47,m3,13000000.0
7,1,48,m3,13000000.0
8,1,1,m3,545000000.0
8,1,2,m3,545000000.0
8,1,3,m3,545000000.0
8,1,4,m3,545000000.0
8,1,5,m3,545000000.0
8,1,6,m3,545000000.0
8,1,7,m3,545000000.0
8,1,8,m3,545000000.0
8,1,9,m3,545000000.0
8,1,10,m3,545000000.0
8,1,11,m3,545000000.0
8,1,12,m3,545000000.0
8,1,13,m3,545000000.0
8,1,14,m3,545000000.0
8,1,15,m3,545000000.0
8,1,16,m3,545000000.0
8,1,17,m3,545000000.0
8,1,18,m3,545000000.0
8,1,19,m3,545000000.0
8,1,20,m3,545000000.0
8,1,21,m3,545000000.0
8,1,22,m3,545000000.0
8,1,23,m3,545000000.0
8,1,24,m3,545000000.0
8,1,25,m3,545000000.0
8,1,26,m3,545000000.0
8,1,27,m3,545000000.0
8,1,28,m3,545000000.0
8,1,29,m3,545000000.0
8,1,30,m3,545000000.0
8,1,31,m3,545000000.0
8,1,32,m3,545000000.0
8,1,33,m3,545000000.0
8,1,34,m3,545000000.0
8,1,35,m3,545000000.0
8,1,36,m3,545000000.0
8,1,37,m3,545000000.0
8,1,38,m3,545000000.0
8,1,39,m3,545000000.0
8,1,40,m3,545000000.0
8,1,41,m3,545000000.0
8,1,42,m3,545000000.0
8,1,43,m3,545000000.0
8,1,44,m3,545000000.0
8,1,45,m3,545000000.0
