zone1,zone2,year,unit,capacity_max,capacity_min
bus198,bus200,2023,MW,0.0,0.0
bus202,bus197,2023,MW,0.0,0.0
bus197,bus202,2023,MW,0.0,0.0
bus203,bus202,2023,MW,0.0,0.0
bus202,bus203,2023,MW,0.0,0.0
bus204,bus205,2023,MW,0.0,0.0
bus205,bus204,2023,MW,0.0,0.0
bus205,bus207,2023,MW,0.0,0.0
bus207,bus205,2023,MW,0.0,0.0
bus206,bus205,2023,MW,0.0,0.0
bus205,bus206,2023,MW,0.0,0.0
bus207,bus208,2023,MW,0.0,0.0
bus208,bus207,2023,MW,0.0,0.0
bus208,bus387,2023,MW,0.0,0.0
bus387,bus208,2023,MW,0.0,0.0
bus209,bus405,2023,MW,0.0,0.0
bus405,bus209,2023,MW,0.0,0.0
bus21,bus7,2023,MW,0.0,0.0
bus7,bus21,2023,MW,0.0,0.0
bus210,bus403,2023,MW,0.0,0.0
bus403,bus210,2023,MW,0.0,0.0
bus211,bus229,2023,MW,0.0,0.0
bus229,bus211,2023,MW,0.0,0.0
bus213,bus358,2023,MW,0.0,0.0
bus358,bus213,2023,MW,0.0,0.0
bus214,bus231,2023,MW,0.0,0.0
bus231,bus214,2023,MW,0.0,0.0
bus216,bus217,2023,MW,0.0,0.0
bus217,bus216,2023,MW,0.0,0.0
bus216,bus388,2023,MW,0.0,0.0
bus388,bus216,2023,MW,0.0,0.0
bus217,bus218,2023,MW,0.0,0.0
bus218,bus217,2023,MW,0.0,0.0
bus218,bus220,2023,MW,0.0,0.0
bus220,bus218,2023,MW,0.0,0.0
bus22,bus17,2023,MW,0.0,0.0
bus17,bus22,2023,MW,0.0,0.0
bus22,bus58,2023,MW,0.0,0.0
bus58,bus22,2023,MW,0.0,0.0
bus221,bus220,2023,MW,0.0,0.0
bus220,bus221,2023,MW,0.0,0.0
bus221,bus224,2023,MW,0.0,0.0
bus224,bus221,2023,MW,0.0,0.0
bus222,bus225,2023,MW,0.0,0.0
bus225,bus222,2023,MW,0.0,0.0
bus222,bus261,2023,MW,0.0,0.0
bus261,bus222,2023,MW,0.0,0.0
bus222,bus268,2023,MW,0.0,0.0
bus268,bus222,2023,MW,0.0,0.0
bus223,bus222,2023,MW,0.0,0.0
bus222,bus223,2023,MW,0.0,0.0
bus223,bus229,2023,MW,0.0,0.0
bus229,bus223,2023,MW,0.0,0.0
bus224,bus114,2023,MW,0.0,0.0
bus114,bus224,2023,MW,0.0,0.0
bus224,bus180,2023,MW,0.0,0.0
bus180,bus224,2023,MW,0.0,0.0
bus224,bus223,2023,MW,0.0,0.0
bus223,bus224,2023,MW,0.0,0.0
bus226,bus227,2023,MW,0.0,0.0
bus227,bus226,2023,MW,0.0,0.0
bus226,bus228,2023,MW,0.0,0.0
bus228,bus226,2023,MW,0.0,0.0
bus227,bus225,2023,MW,0.0,0.0
bus225,bus227,2023,MW,0.0,0.0
bus227,bus229,2023,MW,0.0,0.0
bus229,bus227,2023,MW,0.0,0.0
bus229,bus214,2023,MW,0.0,0.0
