zone1,zone2,unit,value
bus283,bus284,MW/rad,1688.0
bus284,bus285,MW/rad,1688.0
bus285,bus288,MW/rad,1688.0
bus286,bus287,MW/rad,1000.0
bus286,bus288,MW/rad,1688.0
bus105,bus288,MW/rad,6962.0
bus288,bus289,MW/rad,1688.0
bus289,bus290,MW/rad,1688.0
bus291,bus303,MW/rad,3378.0
bus273,bus292,MW/rad,6962.0
bus292,bus293,MW/rad,6962.0
bus292,bus294,MW/rad,6962.0
bus291,bus293,MW/rad,1688.0
bus294,bus295,MW/rad,1688.0
bus295,bus299,MW/rad,1688.0
bus251,bus296,MW/rad,6962.0
bus273,bus296,MW/rad,6962.0
bus296,bus297,MW/rad,6962.0
bus296,bus309,MW/rad,6962.0
bus297,bus298,MW/rad,13924.0
bus295,bus298,MW/rad,1688.0
bus299,bus300,MW/rad,1688.0
bus30,bus31,MW/rad,3378.0
bus30,bus57,MW/rad,1688.0
bus300,bus301,MW/rad,1688.0
bus301,bus308,MW/rad,13924.0
bus302,bus303,MW/rad,1688.0
bus302,bus304,MW/rad,3378.0
bus304,bus305,MW/rad,1688.0
bus306,bus307,MW/rad,6962.0
bus306,bus311,MW/rad,5066.0
bus305,bus307,MW/rad,6962.0
bus307,bus308,MW/rad,6962.0
bus309,bus310,MW/rad,6962.0
bus31,bus32,MW/rad,1000.0
bus308,bus310,MW/rad,6962.0
bus310,bus336,MW/rad,6962.0
bus311,bus312,MW/rad,5066.0
bus312,bus313,MW/rad,1688.0
bus313,bus321,MW/rad,5066.0
bus315,bus316,MW/rad,3378.0
bus315,bus73,MW/rad,1688.0
bus315,bus76,MW/rad,1688.0
bus316,bus317,MW/rad,1688.0
bus316,bus318,MW/rad,1688.0
bus317,bus333,MW/rad,1688.0
bus318,bus319,MW/rad,1688.0
bus318,bus335,MW/rad,1688.0
bus319,bus320,MW/rad,3378.0
bus314,bus321,MW/rad,1688.0
bus321,bus323,MW/rad,5066.0
bus321,bus325,MW/rad,1688.0
bus323,bus324,MW/rad,1688.0
bus324,bus326,MW/rad,5066.0
bus325,bus340,MW/rad,3378.0
bus326,bus327,MW/rad,1688.0
bus327,bus328,MW/rad,20888.0
bus325,bus328,MW/rad,13924.0
bus328,bus329,MW/rad,13924.0
bus328,bus330,MW/rad,6962.0
bus328,bus336,MW/rad,6962.0
bus328,bus338,MW/rad,6962.0
bus322,bus329,MW/rad,1688.0
bus329,bus338,MW/rad,1688.0
bus329,bus363,MW/rad,1688.0
bus33,bus37,MW/rad,1000.0
bus33,bus44,MW/rad,1000.0
bus330,bus332,MW/rad,1688.0
bus320,bus331,MW/rad,1688.0
bus322,bus331,MW/rad,1688.0
bus332,bus333,MW/rad,1688.0
bus332,bus334,MW/rad,1688.0
bus336,bus337,MW/rad,6962.0
bus248,bus337,MW/rad,6962.0
bus337,bus363,MW/rad,1688.0
bus338,bus339,MW/rad,1000.0
bus338,bus340,MW/rad,1688.0
bus339,bus353,MW/rad,1000.0
bus31,bus34,MW/rad,1688.0
bus34,bus35,MW/rad,1688.0
bus34,bus54,MW/rad,1688.0
bus310,bus340,MW/rad,13924.0
bus248,bus342,MW/rad,6962.0
bus342,bus343,MW/rad,1688.0
bus341,bus344,MW/rad,1000.0
bus243,bus346,MW/rad,1688.0
bus347,bus349,MW/rad,1688.0
bus347,bus350,MW/rad,1688.0
bus347,bus354,MW/rad,1688.0
bus342,bus348,MW/rad,1688.0
bus347,bus348,MW/rad,1688.0
bus350,bus351,MW/rad,1000.0
bus346,bus351,MW/rad,1000.0
bus243,bus352,MW/rad,1688.0
bus348,bus352,MW/rad,1688.0
bus353,bus360,MW/rad,1000.0
bus354,bus355,MW/rad,1688.0
bus347,bus355,MW/rad,1688.0
bus354,bus356,MW/rad,1688.0
bus356,bus357,MW/rad,1000.0
bus357,bus358,MW/rad,1688.0
bus358,bus365,MW/rad,1688.0
bus354,bus359,MW/rad,1688.0
bus358,bus359,MW/rad,1688.0
bus359,bus399,MW/rad,1688.0
bus35,bus36,MW/rad,1000.0
bus360,bus364,MW/rad,1688.0
bus360,bus361,MW/rad,1000.0
bus361,bus362,MW/rad,1000.0
bus361,bus363,MW/rad,1688.0
bus363,bus364,MW/rad,1688.0
bus366,bus367,MW/rad,1000.0
bus364,bus367,MW/rad,1688.0
bus368,bus369,MW/rad,1688.0
bus368,bus372,MW/rad,1688.0
bus368,bus460,MW/rad,1688.0
bus369,bus371,MW/rad,1000.0
bus34,bus37,MW/rad,1688.0
bus37,bus38,MW/rad,1000.0
bus370,bus372,MW/rad,1688.0
bus372,bus397,MW/rad,1688.0
bus372,bus399,MW/rad,1688.0
bus373,bus380,MW/rad,1000.0
bus373,bus374,MW/rad,1000.0
bus374,bus378,MW/rad,6962.0
bus371,bus375,MW/rad,1000.0
bus375,bus456,MW/rad,3378.0
bus375,bus376,MW/rad,3378.0
bus376,bus377,MW/rad,3378.0
bus376,bus455,MW/rad,1688.0
bus374,bus377,MW/rad,1688.0
bus368,bus378,MW/rad,6962.0
bus377,bus378,MW/rad,6962.0
bus378,bus402,MW/rad,6962.0
bus378,bus452,MW/rad,6962.0
bus377,bus379,MW/rad,1688.0
bus379,bus454,MW/rad,1000.0
bus34,bus38,MW/rad,1688.0
bus381,bus382,MW/rad,1688.0
bus381,bus383,MW/rad,3378.0
bus381,bus384,MW/rad,1688.0
bus381,bus386,MW/rad,1688.0
bus381,bus390,MW/rad,3378.0
bus382,bus384,MW/rad,1000.0
bus373,bus383,MW/rad,1000.0
bus379,bus383,MW/rad,1000.0
bus384,bus385,MW/rad,3378.0
bus384,bus418,MW/rad,1000.0
bus385,bus386,MW/rad,1688.0
bus385,bus404,MW/rad,1688.0
bus374,bus386,MW/rad,1688.0
bus381,bus387,MW/rad,6962.0
bus387,bus388,MW/rad,6962.0
bus386,bus388,MW/rad,1688.0
bus389,bus390,MW/rad,1688.0
bus29,bus39,MW/rad,1000.0
bus32,bus39,MW/rad,1000.0
bus38,bus39,MW/rad,1000.0
bus390,bus391,MW/rad,1000.0
bus391,bus392,MW/rad,1000.0
bus391,bus394,MW/rad,1688.0
bus390,bus392,MW/rad,1000.0
bus392,bus397,MW/rad,1000.0
bus211,bus394,MW/rad,1688.0
bus386,bus394,MW/rad,1688.0
bus393,bus394,MW/rad,1688.0
bus394,bus402,MW/rad,6962.0
bus395,bus396,MW/rad,1000.0
bus392,bus396,MW/rad,1000.0
bus396,bus397,MW/rad,1000.0
bus397,bus398,MW/rad,1688.0
bus394,bus399,MW/rad,1688.0
bus396,bus399,MW/rad,1688.0
bus399,bus400,MW/rad,1688.0
bus4,bus8,MW/rad,1688.0
bus4,bus96,MW/rad,1000.0
bus34,bus40,MW/rad,1688.0
bus358,bus400,MW/rad,1688.0
bus398,bus400,MW/rad,1000.0
bus212,bus401,MW/rad,1000.0
bus393,bus401,MW/rad,1000.0
bus229,bus402,MW/rad,6962.0
bus387,bus402,MW/rad,6962.0
bus387,bus403,MW/rad,6962.0
bus405,bus420,MW/rad,1000.0
bus209,bus406,MW/rad,1000.0
bus405,bus406,MW/rad,1000.0
bus407,bus409,MW/rad,1000.0
bus407,bus420,MW/rad,1000.0
bus407,bus408,MW/rad,1000.0
bus40,bus41,MW/rad,3378.0
bus410,bus411,MW/rad,1000.0
bus411,bus412,MW/rad,1000.0
bus413,bus424,MW/rad,6962.0
bus414,bus415,MW/rad,1000.0
bus415,bus417,MW/rad,1000.0
bus416,bus417,MW/rad,1000.0
bus417,bus425,MW/rad,1688.0
bus406,bus418,MW/rad,1000.0
bus418,bus423,MW/rad,1000.0
bus418,bus424,MW/rad,6962.0
bus407,bus419,MW/rad,1000.0
bus418,bus419,MW/rad,1000.0
bus419,bus420,MW/rad,1000.0
bus42,bus43,MW/rad,13194.0
bus420,bus421,MW/rad,1000.0
bus421,bus422,MW/rad,1688.0
bus384,bus422,MW/rad,1000.0
bus417,bus423,MW/rad,1000.0
bus423,bus424,MW/rad,6962.0
bus387,bus424,MW/rad,6962.0
bus416,bus424,MW/rad,6962.0
bus412,bus425,MW/rad,1688.0
bus416,bus425,MW/rad,1688.0
bus425,bus426,MW/rad,1688.0
bus426,bus427,MW/rad,1688.0
bus426,bus430,MW/rad,1688.0
bus426,bus434,MW/rad,1688.0
bus425,bus427,MW/rad,1688.0
bus427,bus428,MW/rad,1000.0
bus428,bus436,MW/rad,1000.0
bus428,bus429,MW/rad,1000.0
bus34,bus43,MW/rad,6596.0
bus430,bus431,MW/rad,1688.0
bus432,bus435,MW/rad,1000.0
bus430,bus433,MW/rad,1688.0
bus432,bus433,MW/rad,1688.0
bus433,bus434,MW/rad,1688.0
bus434,bus436,MW/rad,1000.0
bus437,bus438,MW/rad,1000.0
bus438,bus439,MW/rad,1000.0
bus440,bus445,MW/rad,1688.0
bus441,bus442,MW/rad,1688.0
bus442,bus443,MW/rad,1688.0
bus439,bus444,MW/rad,1688.0
bus444,bus448,MW/rad,1688.0
bus443,bus445,MW/rad,1688.0
bus444,bus445,MW/rad,1688.0
bus445,bus446,MW/rad,5066.0
bus446,bus457,MW/rad,1688.0
bus446,bus459,MW/rad,1688.0
bus378,bus447,MW/rad,6962.0
bus441,bus447,MW/rad,6962.0
bus446,bus447,MW/rad,6962.0
bus447,bus448,MW/rad,6962.0
bus448,bus456,MW/rad,1688.0
bus449,bus458,MW/rad,1000.0
bus44,bus45,MW/rad,1000.0
bus436,bus450,MW/rad,1000.0
bus450,bus451,MW/rad,1688.0
bus449,bus451,MW/rad,1000.0
bus451,bus453,MW/rad,1000.0
bus429,bus454,MW/rad,1000.0
bus456,bus457,MW/rad,1688.0
bus444,bus458,MW/rad,1688.0
bus456,bus458,MW/rad,1688.0
bus43,bus46,MW/rad,6596.0
bus462,bus463,MW/rad,1000.0
bus463,bus465,MW/rad,1000.0
bus463,bus464,MW/rad,1000.0
bus461,bus465,MW/rad,1000.0
bus465,bus467,MW/rad,1688.0
bus465,bus466,MW/rad,3378.0
bus468,bus469,MW/rad,1000.0
bus469,bus470,MW/rad,1000.0
bus42,bus47,MW/rad,1688.0
bus47,bus48,MW/rad,3378.0
bus47,bus51,MW/rad,1688.0
bus47,bus52,MW/rad,1688.0
bus470,bus471,MW/rad,1000.0
bus471,bus472,MW/rad,1000.0
bus48,bus49,MW/rad,1688.0
bus5,bus6,MW/rad,1688.0
bus5,bus8,MW/rad,1688.0
bus49,bus50,MW/rad,1688.0
bus468,bus51,MW/rad,1000.0
bus51,bus52,MW/rad,1000.0
bus47,bus53,MW/rad,1688.0
bus53,bus54,MW/rad,1000.0
bus55,bus56,MW/rad,1000.0
bus57,bus58,MW/rad,3378.0
bus56,bus58,MW/rad,1688.0
bus22,bus59,MW/rad,1688.0
bus17,bus6,MW/rad,1688.0
bus6,bus8,MW/rad,1688.0
bus466,bus60,MW/rad,1688.0
bus61,bus68,MW/rad,1688.0
bus62,bus63,MW/rad,6962.0
bus336,bus63,MW/rad,6962.0
bus337,bus63,MW/rad,6962.0
bus63,bus67,MW/rad,6962.0
bus64,bus68,MW/rad,1688.0
bus64,bus71,MW/rad,1688.0
bus64,bus65,MW/rad,1688.0
bus315,bus66,MW/rad,1688.0
bus60,bus66,MW/rad,1688.0
bus64,bus66,MW/rad,1688.0
bus66,bus67,MW/rad,1688.0
bus66,bus73,MW/rad,1688.0
bus466,bus67,MW/rad,1688.0
bus60,bus68,MW/rad,1000.0
bus63,bus69,MW/rad,6962.0
bus7,bus9,MW/rad,6962.0
bus70,bus71,MW/rad,1688.0
bus71,bus72,MW/rad,1688.0
bus335,bus74,MW/rad,1688.0
bus73,bus74,MW/rad,1688.0
bus315,bus75,MW/rad,1688.0
bus70,bus76,MW/rad,1688.0
bus77,bus83,MW/rad,1688.0
bus78,bus81,MW/rad,1000.0
bus77,bus79,MW/rad,1688.0
bus78,bus79,MW/rad,1000.0
bus16,bus8,MW/rad,1688.0
bus80,bus81,MW/rad,1000.0
bus77,bus82,MW/rad,1688.0
bus82,bus89,MW/rad,1688.0
bus78,bus84,MW/rad,1000.0
bus85,bus90,MW/rad,1688.0
bus85,bus95,MW/rad,1688.0
bus85,bus86,MW/rad,3378.0
bus86,bus87,MW/rad,20888.0
bus87,bus88,MW/rad,13924.0
bus87,bus93,MW/rad,6962.0
bus88,bus89,MW/rad,3378.0
bus83,bus89,MW/rad,1688.0
bus8,bus9,MW/rad,6962.0
bus17,bus90,MW/rad,1688.0
bus90,bus96,MW/rad,1688.0
bus17,bus91,MW/rad,1688.0
bus90,bus91,MW/rad,3378.0
bus91,bus92,MW/rad,3378.0
bus18,bus94,MW/rad,6962.0
bus91,bus95,MW/rad,1688.0
bus113,bus97,MW/rad,1688.0
bus282,bus98,MW/rad,1000.0
bus286,bus98,MW/rad,1000.0
bus80,bus99,MW/rad,1688.0
bus82,bus99,MW/rad,1688.0
bus98,bus99,MW/rad,1688.0
