zone1,zone2,unit,value
bus268,bus271,km,38.68349457
bus271,bus268,km,0.0
bus269,bus258,km,36.33960329
bus258,bus269,km,0.0
bus269,bus260,km,4.976911404
bus260,bus269,km,0.0
bus269,bus270,km,28.06729108
bus270,bus269,km,0.0
bus27,bus30,km,59.54242685
bus30,bus27,km,0.0
bus272,bus102,km,112.3246736
bus102,bus272,km,0.0
bus272,bus246,km,70.35170035
bus246,bus272,km,0.0
bus272,bus273,km,14.58005771
bus273,bus272,km,0.0
bus273,bus252,km,43.29079911
bus252,bus273,km,0.0
bus273,bus269,km,70.36812325
bus269,bus273,km,0.0
bus275,bus289,km,8.849094745
bus289,bus275,km,0.0
bus276,bus274,km,6.069906951
bus274,bus276,km,0.0
bus276,bus275,km,1.314383254
bus275,bus276,km,0.0
bus277,bus276,km,10.02513965
bus276,bus277,km,0.0
bus277,bus293,km,11.45259783
bus293,bus277,km,0.0
bus279,bus277,km,8.839411158
bus277,bus279,km,0.0
bus279,bus278,km,4.949641857
bus278,bus279,km,0.0
bus28,bus45,km,17.49564647
bus45,bus28,km,0.0
bus281,bus278,km,27.0060243
bus278,bus281,km,0.0
bus281,bus282,km,5.051666509
bus282,bus281,km,0.0
bus283,bus103,km,3.102766543
bus103,bus283,km,0.0
bus283,bus284,km,2.13333164
bus284,bus283,km,0.0
bus284,bus285,km,17.6151015
bus285,bus284,km,0.0
bus285,bus288,km,12.0983596
bus288,bus285,km,0.0
bus286,bus287,km,4.102402335
bus287,bus286,km,0.0
bus286,bus288,km,7.70907106
bus288,bus286,km,0.0
bus288,bus105,km,51.57692309
bus105,bus288,km,0.0
bus289,bus288,km,10.38173483
bus288,bus289,km,0.0
bus289,bus290,km,2.75759955
bus290,bus289,km,0.0
bus291,bus303,km,14.25380806
bus303,bus291,km,0.0
bus292,bus273,km,31.03568471
bus273,bus292,km,0.0
bus292,bus293,km,0.896038698
bus293,bus292,km,0.0
bus292,bus294,km,19.2026572
bus294,bus292,km,0.0
bus293,bus291,km,7.212723054
bus291,bus293,km,0.0
bus295,bus294,km,4.763166225
bus294,bus295,km,0.0
bus295,bus299,km,2.221123543
bus299,bus295,km,0.0
bus296,bus251,km,18.08849941
bus251,bus296,km,0.0
bus296,bus273,km,25.99032152
bus273,bus296,km,0.0
bus296,bus297,km,7.879155604
bus297,bus296,km,0.0
bus296,bus309,km,21.84994875
bus309,bus296,km,0.0
bus297,bus298,km,2.084290713
bus298,bus297,km,0.0
bus298,bus295,km,5.925805726
bus295,bus298,km,0.0
bus299,bus300,km,6.629330854
bus300,bus299,km,0.0
bus30,bus31,km,12.73026894
bus31,bus30,km,0.0
bus30,bus57,km,88.01041338
bus57,bus30,km,0.0
bus300,bus301,km,4.782486799
bus301,bus300,km,0.0
bus301,bus308,km,9.344291862
bus308,bus301,km,0.0
bus303,bus302,km,0.594554737
bus302,bus303,km,0.0
bus304,bus302,km,1.387330407
bus302,bus304,km,0.0
bus304,bus305,km,12.34740222
bus305,bus304,km,0.0
bus306,bus307,km,6.589012829
bus307,bus306,km,0.0
bus306,bus311,km,6.700095686
bus311,bus306,km,0.0
bus307,bus305,km,4.361168059
bus305,bus307,km,0.0
bus308,bus307,km,12.21557178
bus307,bus308,km,0.0
bus309,bus310,km,19.6035905
bus310,bus309,km,0.0
