zone1,zone2,unit,value
bus286,bus287,fraction,0.95
bus287,bus286,fraction,0.95
bus286,bus288,fraction,0.95
bus288,bus286,fraction,0.95
bus288,bus105,fraction,0.95
bus105,bus288,fraction,0.95
bus289,bus288,fraction,0.95
bus288,bus289,fraction,0.95
bus289,bus290,fraction,0.95
bus290,bus289,fraction,0.95
bus291,bus303,fraction,0.95
bus303,bus291,fraction,0.95
bus292,bus273,fraction,0.95
bus273,bus292,fraction,0.95
bus292,bus293,fraction,0.95
bus293,bus292,fraction,0.95
bus292,bus294,fraction,0.95
bus294,bus292,fraction,0.95
bus293,bus291,fraction,0.95
bus291,bus293,fraction,0.95
bus295,bus294,fraction,0.95
bus294,bus295,fraction,0.95
bus295,bus299,fraction,0.95
bus299,bus295,fraction,0.95
bus296,bus251,fraction,0.95
bus251,bus296,fraction,0.95
bus296,bus273,fraction,0.95
bus273,bus296,fraction,0.95
bus296,bus297,fraction,0.95
bus297,bus296,fraction,0.95
bus296,bus309,fraction,0.95
bus309,bus296,fraction,0.95
bus297,bus298,fraction,0.95
bus298,bus297,fraction,0.95
bus298,bus295,fraction,0.95
bus295,bus298,fraction,0.95
bus299,bus300,fraction,0.95
bus300,bus299,fraction,0.95
bus30,bus31,fraction,0.95
bus31,bus30,fraction,0.95
bus30,bus57,fraction,0.95
bus57,bus30,fraction,0.95
bus300,bus301,fraction,0.95
bus301,bus300,fraction,0.95
bus301,bus308,fraction,0.95
bus308,bus301,fraction,0.95
bus303,bus302,fraction,0.95
bus302,bus303,fraction,0.95
bus304,bus302,fraction,0.95
bus302,bus304,fraction,0.95
bus304,bus305,fraction,0.95
bus305,bus304,fraction,0.95
bus306,bus307,fraction,0.95
bus307,bus306,fraction,0.95
bus306,bus311,fraction,0.95
bus311,bus306,fraction,0.95
bus307,bus305,fraction,0.95
bus305,bus307,fraction,0.95
bus308,bus307,fraction,0.95
bus307,bus308,fraction,0.95
bus309,bus310,fraction,0.95
bus310,bus309,fraction,0.95
bus31,bus32,fraction,0.95
bus32,bus31,fraction,0.95
bus310,bus308,fraction,0.95
bus308,bus310,fraction,0.95
bus310,bus336,fraction,0.95
bus336,bus310,fraction,0.95
bus311,bus312,fraction,0.95
bus312,bus311,fraction,0.95
bus312,bus313,fraction,0.95
bus313,bus312,fraction,0.95
bus313,bus321,fraction,0.95
bus321,bus313,fraction,0.95
bus315,bus316,fraction,0.95
bus316,bus315,fraction,0.95
bus315,bus73,fraction,0.95
bus73,bus315,fraction,0.95
bus315,bus76,fraction,0.95
bus76,bus315,fraction,0.95
bus316,bus317,fraction,0.95
bus317,bus316,fraction,0.95
bus316,bus318,fraction,0.95
bus318,bus316,fraction,0.95
bus317,bus333,fraction,0.95
bus333,bus317,fraction,0.95
bus318,bus319,fraction,0.95
bus319,bus318,fraction,0.95
bus318,bus335,fraction,0.95
bus335,bus318,fraction,0.95
bus319,bus320,fraction,0.95
bus320,bus319,fraction,0.95
bus321,bus314,fraction,0.95
bus314,bus321,fraction,0.95
bus321,bus323,fraction,0.95
bus323,bus321,fraction,0.95
bus321,bus325,fraction,0.95
bus325,bus321,fraction,0.95
bus323,bus324,fraction,0.95
bus324,bus323,fraction,0.95
bus324,bus326,fraction,0.95
bus326,bus324,fraction,0.95
bus325,bus340,fraction,0.95
bus340,bus325,fraction,0.95
bus326,bus327,fraction,0.95
bus327,bus326,fraction,0.95
bus327,bus328,fraction,0.95
bus328,bus327,fraction,0.95
bus328,bus325,fraction,0.95
bus325,bus328,fraction,0.95
bus328,bus329,fraction,0.95
bus329,bus328,fraction,0.95
bus328,bus330,fraction,0.95
bus330,bus328,fraction,0.95
bus328,bus336,fraction,0.95
bus336,bus328,fraction,0.95
bus328,bus338,fraction,0.95
bus338,bus328,fraction,0.95
bus329,bus322,fraction,0.95
bus322,bus329,fraction,0.95
bus329,bus338,fraction,0.95
bus338,bus329,fraction,0.95
bus329,bus363,fraction,0.95
bus363,bus329,fraction,0.95
bus33,bus37,fraction,0.95
bus37,bus33,fraction,0.95
bus33,bus44,fraction,0.95
bus44,bus33,fraction,0.95
bus330,bus332,fraction,0.95
bus332,bus330,fraction,0.95
bus331,bus320,fraction,0.95
bus320,bus331,fraction,0.95
bus331,bus322,fraction,0.95
bus322,bus331,fraction,0.95
bus332,bus333,fraction,0.95
bus333,bus332,fraction,0.95
bus332,bus334,fraction,0.95
bus334,bus332,fraction,0.95
bus336,bus337,fraction,0.95
bus337,bus336,fraction,0.95
bus337,bus248,fraction,0.95
bus248,bus337,fraction,0.95
bus337,bus363,fraction,0.95
bus363,bus337,fraction,0.95
bus338,bus339,fraction,0.95
bus339,bus338,fraction,0.95
bus338,bus340,fraction,0.95
bus340,bus338,fraction,0.95
bus339,bus353,fraction,0.95
bus353,bus339,fraction,0.95
bus34,bus31,fraction,0.95
bus31,bus34,fraction,0.95
bus34,bus35,fraction,0.95
bus35,bus34,fraction,0.95
bus34,bus54,fraction,0.95
bus54,bus34,fraction,0.95
